country_name,Adjusted net national income per capita (current US$),"Compulsory education, duration (years)",Employment in services (% of total employment) (modeled ILO estimate),Gross savings (% of GNI),"Hospital beds (per 1,000 people)","Inflation, consumer prices (annual %)","Labor force, female (% of total labor force)",Population growth (annual %),Urban population (% of total population)
Russian Federation,8573.213382,11,67.8010025,28.47736097,8.2,4.470366608,48.56969706,-0.072234378,74.587
Rwanda,613.6103839,6,29.2329998,14.30265726,1.6,3.353342993,51.69534494,2.607652645,17.313
Samoa,3569.485239,8,46.86600113,22.58698695,1,0.98232657,34.50699043,0.491828867,18.056
Sao Tome and Principe,1384.699748,6,62.85400009,22.58698695,2.9,7.857064313,35.81947226,1.890763323,73.598
Saudi Arabia,18798.76334,9,72.89700317,33.27161543,2.7,-2.093333333,15.78320847,1.673111729,84.065
Senegal,1231.010515,11,56.94499969,24.03046894,0.3,1.758565176,40.39661812,2.749747408,47.653
Serbia,5708.818777,8,57.57799911,18.8905891,5.7,1.849229845,44.52854198,-0.540353662,56.26
Sierra Leone,435.3973517,9,39.05599976,-7.84001915,0.4,14.80305857,49.69245901,2.109075252,42.484
Singapore,50176.23693,6,84.09300232,47.18916489,2.4,0.565260569,41.76122317,1.144283307,100
Slovak Republic,15123.37437,10,61.83399963,22.2571167,5.8,2.664561334,45.37977976,0.133971298,53.729
Slovenia,20700.64908,9,61.47800064,27.70014624,4.6,1.630522608,46.26252965,0.675280808,54.822
Solomon Islands,1468.713035,9.923913043,53.39099884,3.152480041,1.4,1.63485544,48.47472059,2.565385064,24.21
South Africa,5117.291609,9,72.29199982,15.38063064,2.8,4.124350725,45.47053056,1.338617391,66.856
South Sudan,843.3331019,8,29.72599983,7.042666593,0.8,187.8516257,49.39822472,0.782224434,19.899
Spain,25698.33915,10,75.8259964,22.80852491,3,0.699536242,46.30897343,0.594469675,80.565
Sri Lanka,3670.759365,11,45.89599991,25.99899626,3.6,3.528393582,34.75893774,0.611875946,18.585
St. Lucia,9254.088683,10,64.7009964,22.58698695,1.3,1.938462444,45.16335809,0.494134202,18.754
